INDEX NAME1 R1 G1 M1 A1 C1 NAME2 R2 G2 M2 A2 C2
51 J120257.82+045045.1 2.100000e+01 4.081637e-01 1.881117e-02 5.984543e-01 3.871573e-01 J111406.32+554239.1 1.200000e+01 4.951572e-01 1.131991e-02 3.096417e-01 4.941380e-01
52 J120257.82+045045.1 2.100000e+01 4.081637e-01 1.881117e-02 5.984543e-01 3.871573e-01 J151944.30+441918.6 9.000000e+00 5.361696e-01 4.194154e-03 1.908061e-01 4.827750e-01
53 J120257.82+045045.1 2.100000e+01 4.081637e-01 1.881117e-02 5.984543e-01 3.871573e-01 J090015.62+401748.4 1.600000e+01 4.800966e-01 7.243031e-03 6.006438e-01 4.046923e-01
54 J120257.82+045045.1 2.100000e+01 4.081637e-01 1.881117e-02 5.984543e-01 3.871573e-01 J231221.42+143633.8 1.600000e+01 5.997769e-01 2.406802e-03 1.103097e-01 5.615707e-01
55 J111607.65+412353.2 1.100000e+01 6.026475e-01 3.227363e-03 1.590679e-01 5.621332e-01 J114422.81+082315.1 1.200000e+01 6.013540e-01 3.497526e-03 1.394867e-01 5.308919e-01
56 J111607.65+412353.2 1.100000e+01 6.026475e-01 3.227363e-03 1.590679e-01 5.621332e-01 J145627.95+021224.7 7.000000e+00 5.478620e-01 5.446146e-03 3.986338e-01 5.927408e-01
57 J111607.65+412353.2 1.100000e+01 6.026475e-01 3.227363e-03 1.590679e-01 5.621332e-01 J091431.31+491657.5 7.000000e+00 5.543570e-01 6.938963e-03 1.373881e-01 5.043939e-01
58 J111607.65+412353.2 1.100000e+01 6.026475e-01 3.227363e-03 1.590679e-01 5.621332e-01 J164106.57+460014.6 1.400000e+01 4.909742e-01 9.360622e-03 1.595023e-01 3.834606e-01
59 J111607.65+412353.2 1.100000e+01 6.026475e-01 3.227363e-03 1.590679e-01 5.621332e-01 J090838.46+323534.6 1.600000e+01 5.557391e-01 3.694662e-03 4.191453e-01 7.039801e-01
60 J114530.26+094344.8 9.000000e+00 6.229551e-01 2.196746e-03 5.779276e-01 6.292159e-01 J132505.37-005411.2 1.300000e+01 5.500000e-01 4.283571e-03 1.350763e-01 5.553194e-01
61 J114530.26+094344.8 9.000000e+00 6.229551e-01 2.196746e-03 5.779276e-01 6.292159e-01 J131038.58+611623.6 1.100000e+01 5.415032e-01 8.393312e-03 1.826158e-01 4.302998e-01
62 J114530.26+094344.8 9.000000e+00 6.229551e-01 2.196746e-03 5.779276e-01 6.292159e-01 J121626.72+105342.4 8.000000e+00 5.712684e-01 1.060751e-02 4.559393e-01 4.376861e-01
63 J114530.26+094344.8 9.000000e+00 6.229551e-01 2.196746e-03 5.779276e-01 6.292159e-01 J102813.91+590602.3 7.000000e+00 5.465153e-01 1.068432e-02 1.689352e-01 4.094298e-01
64 J114530.26+094344.8 9.000000e+00 6.229551e-01 2.196746e-03 5.779276e-01 6.292159e-01 J004436.94-094600.4 1.100000e+01 5.634493e-01 8.043914e-03 3.362780e-01 5.811920e-01
65 J132428.24+044629.6 1.000000e+01 5.649408e-01 6.865129e-03 2.312001e-01 5.976518e-01 J085333.60+394537.3 8.000000e+00 5.703206e-01 2.834278e-03 2.644537e-01 5.236004e-01
66 J132428.24+044629.6 1.000000e+01 5.649408e-01 6.865129e-03 2.312001e-01 5.976518e-01 J161433.82+414240.5 1.000000e+01 5.780613e-01 7.993784e-03 2.042585e-01 5.770193e-01
67 J132428.24+044629.6 1.000000e+01 5.649408e-01 6.865129e-03 2.312001e-01 5.976518e-01 J085837.31+515242.6 1.400000e+01 5.308190e-01 3.478148e-03 4.660351e-01 5.646793e-01
68 J132428.24+044629.6 1.000000e+01 5.649408e-01 6.865129e-03 2.312001e-01 5.976518e-01 J102332.53+460328.0 9.000000e+00 5.954284e-01 2.804405e-03 2.551838e-01 5.658326e-01
69 J132428.24+044629.6 1.000000e+01 5.649408e-01 6.865129e-03 2.312001e-01 5.976518e-01 J085949.05+050339.1 1.200000e+01 5.831830e-01 5.618129e-03 5.371155e-01 5.117606e-01
70 J082510.23+375919.8 1.300000e+01 4.710673e-01 8.859831e-03 6.579739e-01 5.353262e-01 J080547.35+225434.9 1.400000e+01 4.568138e-01 6.681304e-03 6.494083e-01 5.766336e-01
71 J082510.23+375919.8 1.300000e+01 4.710673e-01 8.859831e-03 6.579739e-01 5.353262e-01 J023310.79-074813.4 9.000000e+00 5.618369e-01 8.119877e-03 1.913593e-01 5.647209e-01
72 J082510.23+375919.8 1.300000e+01 4.710673e-01 8.859831e-03 6.579739e-01 5.353262e-01 J073715.73+313110.9 9.000000e+00 5.302392e-01 8.524747e-03 3.358210e-01 5.360227e-01
73 J082510.23+375919.8 1.300000e+01 4.710673e-01 8.859831e-03 6.579739e-01 5.353262e-01 J111835.82+002511.2 1.000000e+01 5.868882e-01 4.749898e-03 1.452167e-01 5.402776e-01
74 J082510.23+375919.8 1.300000e+01 4.710673e-01 8.859831e-03 6.579739e-01 5.353262e-01 J081006.07+245519.5 1.500000e+01 5.694641e-01 3.023174e-03 4.260377e-01 5.526420e-01
75 J093812.26+074340.1 9.000000e+00 5.671482e-01 6.934267e-03 2.103826e-01 5.201220e-01 J082854.33+343906.0 1.700000e+01 5.399966e-01 6.840153e-03 7.642390e-01 5.660335e-01
76 J093812.26+074340.1 9.000000e+00 5.671482e-01 6.934267e-03 2.103826e-01 5.201220e-01 J094814.71+574444.5 9.000000e+00 5.286217e-01 1.069132e-02 1.723503e-01 5.297717e-01
77 J093812.26+074340.1 9.000000e+00 5.671482e-01 6.934267e-03 2.103826e-01 5.201220e-01 J113446.25+025515.7 1.000000e+01 5.956978e-01 3.462480e-03 3.812412e-01 5.096357e-01
78 J093812.26+074340.1 9.000000e+00 5.671482e-01 6.934267e-03 2.103826e-01 5.201220e-01 J093917.26+363343.9 1.400000e+01 6.278213e-01 1.625273e-03 4.008794e-01 6.030254e-01
79 J093812.26+074340.1 9.000000e+00 5.671482e-01 6.934267e-03 2.103826e-01 5.201220e-01 J111038.86+034519.6 8.000000e+00 6.035871e-01 5.285262e-03 2.699070e-01 5.962036e-01
80 J133815.87+043233.3 1.700000e+01 5.834272e-01 4.499977e-03 5.525575e-01 5.944600e-01 J220316.00+003415.9 1.700000e+01 5.496458e-01 1.264224e-02 4.757252e-01 5.024435e-01
81 J133815.87+043233.3 1.700000e+01 5.834272e-01 4.499977e-03 5.525575e-01 5.944600e-01 J104000.58+390720.0 1.500000e+01 5.401324e-01 3.911275e-03 3.223603e-01 4.968051e-01
